категория;слово;варианты;теги;комментарий
режим;проснуться;девочка, мальчик;утро, встать, подъём;
режим;туалет;девочка, мальчик;горшок, пописать, покакать;
режим;умыться;девочка, мальчик;умываться, лицо, утро;
режим;чистить зубы;девочка, мальчик;зубы, щётка, паста, утро, вечер;в исходном списке было дважды
режим;мыть руки;девочка, мальчик;руки, мыло, помыть;
режим;мыть волосы;девочка, мальчик;голова, шампунь;
режим;купаться в ванной;девочка, мальчик;ванна, мыться, купание;было: «купаться ванная»
режим;мыться в душе;девочка, мальчик;душ, мыться;было: «мыться душ»
режим;заправить постель;девочка, мальчик;кровать, убрать постель;
режим;тихий час;девочка, мальчик;дневной сон, отдых, спать днём;
режим;спать;девочка, мальчик;сон, кровать, ночь;
режим;постричься;девочка, мальчик;парикмахерская, стрижка, волосы;
режим;стричь ногти;девочка, мальчик;ногти, ножницы;было: «стриичь»
одежда;одеться;девочка, мальчик;одеваться, надеть;
одежда;раздеться;девочка, мальчик;раздеваться, снять;
одежда;обуться;девочка, мальчик;обувь, ботинки, надеть;
одежда;разуться;девочка, мальчик;обувь, снять;
одежда;одежда;без людей;вещи;
одежда;пижама;без людей;спать, ночь;
одежда;зонт;без людей;дождь;
игры;играть;девочка, мальчик;игра, поиграть;в исходном списке было дважды
игры;играть в игрушки;девочка, мальчик;игрушки, поиграть;
игры;убрать игрушки;девочка, мальчик;складывать игрушки, порядок, уборка;объединила с «складывать игрушки»
игры;конструктор;без людей;лего, кубики, строить;
игры;пазл;без людей;пазлы, собирать;
игры;кукла;без людей;игрушка;
игры;играть в мяч;девочка, мальчик;мяч;
игры;настольная игра;без людей;игра, лото;
игры;мультик;без людей;мультфильм, смотреть;
игры;телевизор;без людей;смотреть, тв;
игры;планшет;без людей;телефон, игра, смотреть;
игры;свободное время;девочка, мальчик;отдых, можно выбрать;было: «вермя»
игры;отдых;девочка, мальчик;отдохнуть, пауза, перерыв;
игры;обнимать;девочка, мальчик;обнять, обнимашки, люблю;
игры;приз;без людей;награда, подарок, молодец;
прогулка;гулять;девочка, мальчик;прогулка, улица, погулять;
прогулка;площадка;без людей;детская площадка, двор;
прогулка;качели;девочка, мальчик;качаться;
прогулка;горка;девочка, мальчик;кататься;
прогулка;песочница;девочка, мальчик;песок, лопатка, ведёрко;было: «песочника»
прогулка;парк;без людей;гулять, деревья;
прогулка;лес;без людей;деревья, природа;
прогулка;пляж;без людей;море, песок, купаться;
прогулка;коляска;без людей;малыш;
места;домой;без людей;дом, идти домой;
места;магазин;без людей;покупки, купить;
места;торговый центр;без людей;магазин, тц;
места;рынок;без людей;покупки, базар;
места;музей;без людей;экскурсия;
транспорт, действия;ехать;девочка, мальчик;поехать, дорога;
места;машина;без людей;ехать, автомобиль;
места;автобус;без людей;ехать, транспорт;
спорт;физкультура;девочка, мальчик;спорт, урок;
спорт;зарядка;девочка, мальчик;утро, упражнения;
спорт;спортивная форма;без людей;форма, одежда;
спорт;бегать;девочка, мальчик;бег;
спорт;прыгать;девочка, мальчик;прыжки;
спорт;приседать;девочка, мальчик;приседания;
